Product_Name,Category,Personal_Color_Type,Bone_Structure_Type,Color_Group,Description
ストレートパンツ,ボトムス,ブルベ冬,ナチュラル,グレー,一日中崩れにくい、完璧なベースメイクを叶えます。
ミニマルフープピアス,アクセサリー,ブルベ夏,ナチュラル,シルバー,ファッションのアクセントになる、目を引くアイテム。
プリントワンピース,ワンピース,イエベ秋,ウェーブ,レッド,血色感をプラスし、健康的な印象を演出します。
トレンチコート,アウター,ブルベ冬,ストレート,ベージュ,リラックス感がありながらも、こなれた印象に仕上げます。
コンフォートスニーカー,シューズ,イエベ春,ナチュラル,ネイビーブルー,定番のアイテムで、どんなボトムスにも合わせやすいです。
プリントワンピース,ワンピース,ブルベ冬,ナチュラル,レッド,長時間よれにくいウォータープルーフ処方です。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ナチュラル,レッド,繊細なラメが光を反射し、華やかさをプラスします。
ベーシックシャツ セーター,トップス,イエベ春,ウェーブ,ブラック,すっきりとしたシルエットでスタイルアップ効果も。
トレンチコート,アウター,ブルベ夏,ストレート,ネイビーブルー,小顔効果が期待できる、こだわりのデザイン。
シルキーリップ グロス,リップ,ブルベ冬,ナチュラル,ダスティローズ,自然なツヤ感で立体感を演出するメイクアイテム。
ナチュラルチーク,チーク,ブルベ冬,ストレート,フューシャ,血色感をプラスし、健康的な印象を演出します。
シルキーリップ グロス,リップ,イエベ春,ウェーブ,ライトコーラル,日常使いに最適な、肌馴染みの良いアイテムです。
クルーネックニット ブラウス,トップス,イエベ春,ウェーブ,バーガンディ,オフィスにも着ていける上品なデザインが魅力です。
スリムフィットデニム,ボトムス,イエベ春,ナチュラル,インディゴ,重ね塗りで印象が自由自在に変わります。
ベーシックシャツ Tシャツ,トップス,イエベ秋,ナチュラル,スカイブルー,日常使いに最適な、肌馴染みの良いアイテムです。
モイスチャーファンデ,ベースメイク,ブルベ冬,ウェーブ,アイボリー,どんなスタイルにも合わせやすい、万能なシューズ。
クルーネックニット セーター,トップス,イエベ秋,ウェーブ,チャコールグレー,上品なシルエットで、どんなスタイルにもマッチします。
モイスチャーファンデ,ベースメイク,イエベ春,ナチュラル,アイボリー,繊細なラメが光を反射し、華やかさをプラスします。
コンフォートスニーカー,シューズ,ブルベ夏,ナチュラル,ブラック,休日のカジュアルスタイルにもぴったりの一着。
クルーネックニット セーター,トップス,イエベ春,ナチュラル,ラベンダー,一枚でサマになる、エレガントなワンピース。
コンフォートスニーカー,シューズ,イエベ秋,ナチュラル,グレー,脚長効果抜群のスリムフィットパンツ。
トレンチコート,アウター,イエベ春,ウェーブ,カーキ,高機能で肌に優しい処方です。
クルーネックニット Tシャツ,トップス,イエベ秋,ナチュラル,ブラウン,指先を美しく彩る高発色ネイルポリッシュ。
グロッシーネイルポリッシュ,ネイル,イエベ秋,ナチュラル,ベビーピンク,定番のアイテムで、どんなボトムスにも合わせやすいです。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ストレート,ネイビーブルー,重ね塗りで印象が自由自在に変わります。
モイスチャーファンデ,ベースメイク,イエベ秋,ウェーブ,ベージュ,すっきりとしたシルエットでスタイルアップ効果も。
ベーシックシャツ ブラウス,トップス,ブルベ夏,ウェーブ,ホワイト,繊細なラメが光を反射し、華やかさをプラスします。
コンフォートスニーカー,シューズ,イエベ春,ナチュラル,ブラック,繊細なラメが光を反射し、華やかさをプラスします。
ナチュラルチーク,チーク,ブルベ夏,ストレート,ローズ,リラックス感がありながらも、こなれた印象に仕上げます。
トレンチコート,アウター,イエベ秋,ウェーブ,ネイビーブルー,自然なツヤ感で立体感を演出するメイクアイテム。
クルーネックニット Tシャツ,トップス,イエベ春,ウェーブ,ブラウン,乾燥しにくく、しっとりとした潤いが続きます。
シンプルスカート,ボトムス,イエベ春,ストレート,ダスティローズ,休日のカジュアルスタイルにもぴったりの一着。
ナチュラルチーク,チーク,イエベ春,ナチュラル,フューシャ,定番のアイテムで、どんなボトムスにも合わせやすいです。
ミニマルフープピアス,アクセサリー,ブルベ夏,ウェーブ,ゴールド,一日中崩れにくい、完璧なベースメイクを叶えます。
スリムフィットデニム,ボトムス,ブルベ冬,ウェーブ,ライトブルー,トレンドを取り入れたシルエットで今っぽさを演出。
トレンチコート,アウター,イエベ秋,ウェーブ,ベージュ,顔周りを華やかに彩る、アクセントになる一品。
ナチュラルチーク,チーク,ブルベ夏,ストレート,ブラウン,乾燥しにくく、しっとりとした潤いが続きます。
シルキーリップ グロス,リップ,ブルベ冬,ナチュラル,ライトコーラル,乾燥しにくく、しっとりとした潤いが続きます。
ストレートパンツ,ボトムス,イエベ春,ストレート,ブラック,快適なフィット感で歩きやすく、疲れにくいです。
シャイニーアイシャドウ パレット,アイシャドウ,ブルベ冬,ストレート,ラベンダー,トレンドを取り入れたシルエットで今っぽさを演出。
シルキーリップ バーム,リップ,イエベ秋,ストレート,レッド,小顔効果が期待できる、こだわりのデザイン。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,ローズ,日常使いに最適な、肌馴染みの良いアイテムです。
ストレートパンツ,ボトムス,イエベ春,ストレート,ベージュ,上品なシルエットで、どんなスタイルにもマッチします。
コンフォートスニーカー,シューズ,ブルベ夏,ナチュラル,グレー,カジュアルながらも着回し力抜群のアイテム。
トレンチコート,アウター,ブルベ夏,ストレート,カーキ,日常使いに最適な、肌馴染みの良いアイテムです。
シャイニーアイシャドウ パレット,アイシャドウ,イエベ秋,ナチュラル,イエローゴールド,長時間よれにくいウォータープルーフ処方です。
レザートート,バッグ,ブルベ夏,ウェーブ,ベージュ,脚長効果抜群のスリムフィットパンツ。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,ピーチ,小顔効果が期待できる、こだわりのデザイン。
モイスチャーファンデ,ベースメイク,イエベ秋,ウェーブ,アイボリー,小顔効果が期待できる、こだわりのデザイン。
クルーネックニット シャツ,トップス,ブルベ夏,ナチュラル,ブラウン,上質な素材で肌触りも良く、着心地抜群です。
ドロップショルダーT シャツ,トップス,イエベ秋,ウェーブ,オレンジ,高機能で肌に優しい処方です。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,フューシャ,ファッションのアクセントになる、目を引くアイテム。
ドロップショルダーT セーター,トップス,ブルベ夏,ストレート,オレンジ,長時間よれにくいウォータープルーフ処方です。
モイスチャーファンデ,ベースメイク,ブルベ夏,ナチュラル,アイボリー,長時間よれにくいウォータープルーフ処方です。
ミニマルフープピアス,アクセサリー,イエベ秋,ストレート,ゴールド,女性らしい柔らかな印象を与えるデザインが魅力です。
グロッシーネイルポリッシュ,ネイル,イエベ春,ナチュラル,ホワイト,女性らしい柔らかな印象を与えるデザインが魅力です。
クルーネックニット ブラウス,トップス,イエベ秋,ナチュラル,ラベンダー,なめらかなテクスチャーで肌にすっと伸びます。
コンフォートスニーカー,シューズ,イエベ秋,ストレート,グレー,乾燥しにくく、しっとりとした潤いが続きます。
シンプルスカート,ボトムス,イエベ秋,ストレート,ダスティローズ,脚長効果抜群のスリムフィットパンツ。
モイスチャーファンデ,ベースメイク,ブルベ冬,ストレート,オークル,快適な履き心地で長時間の移動にもおすすめです。
コンフォートスニーカー,シューズ,ブルベ夏,ナチュラル,ネイビーブルー,高機能で肌に優しい処方です。
トレンチコート,アウター,ブルベ夏,ウェーブ,ネイビーブルー,季節の変わり目に重宝する、着回し力の高いアイテム。
シンプルスカート,ボトムス,ブルベ夏,ウェーブ,ブラック,長時間よれにくいウォータープルーフ処方です。
レザートート,バッグ,イエベ春,ウェーブ,ベージュ,日常使いに最適な、肌馴染みの良いアイテムです。
ミニマルフープピアス,アクセサリー,イエベ春,ナチュラル,ゴールド,一日中崩れにくい、完璧なベースメイクを叶えます。
プリントワンピース,ワンピース,イエベ秋,ナチュラル,プラム,長時間よれにくいウォータープルーフ処方です。
モイスチャーファンデ,ベースメイク,ブルベ夏,ストレート,ベージュ,すっきりとしたシルエットでスタイルアップ効果も。
レザートート,バッグ,ブルベ夏,ストレート,ブラック,リラックス感がありながらも、こなれた印象に仕上げます。
コンフォートスニーカー,シューズ,イエベ春,ストレート,ネイビーブルー,快適な履き心地で長時間の移動にもおすすめです。
ベーシックシャツ ブラウス,トップス,ブルベ冬,ナチュラル,ネイビーブルー,上質な素材で肌触りも良く、着心地抜群です。
ナチュラルチーク,チーク,ブルベ冬,ナチュラル,ローズ,女性らしい柔らかな印象を与えるデザインが魅力です。
ベーシックシャツ シャツ,トップス,ブルベ冬,ウェーブ,ネイビーブルー,日常使いに最適な、上質な素材を使用しています。
ミニマルフープピアス,アクセサリー,ブルベ冬,ウェーブ,シルバー,乾燥しにくく、しっとりとした潤いが続きます。
シャイニーアイシャドウ パレット,アイシャドウ,ブルベ夏,ウェーブ,カーキ,リラックス感がありながらも、こなれた印象に仕上げます。
ナチュラルチーク,チーク,イエベ春,ウェーブ,ブラウン,高機能で肌に優しい処方です。
シルキーリップ ティント,リップ,ブルベ冬,ウェーブ,レッド,定番のアイテムで、どんなボトムスにも合わせやすいです。
ドロップショルダーT ブラウス,トップス,イエベ春,ストレート,アースカラー,デコルテを綺麗に見せるVネックデザイン。
スリムフィットデニム,ボトムス,イエベ秋,ウェーブ,インディゴ,一枚でサマになる、エレガントなワンピース。
トレンチコート,アウター,イエベ春,ウェーブ,カーキ,洗練されたデザインでビジネスシーンにも活躍します。
ドロップショルダーT ブラウス,トップス,イエベ春,ウェーブ,ミントグリーン,一日中崩れにくい、完璧なベースメイクを叶えます。
プリントワンピース,ワンピース,ブルベ夏,ウェーブ,プラム,デコルテを綺麗に見せるVネックデザイン。
シャイニーアイシャドウ パレット,アイシャドウ,イエベ秋,ウェーブ,カーキ,季節の変わり目に重宝する、着回し力の高いアイテム。
スリムフィットデニム,ボトムス,イエベ春,ストレート,インディゴ,小顔効果が期待できる、こだわりのデザイン。
シンプルスカート,ボトムス,イエベ春,ストレート,ライトブルー,乾燥しにくく、しっとりとした潤いが続きます。
レザートート,バッグ,イエベ秋,ウェーブ,ブラック,定番のアイテムで、どんなボトムスにも合わせやすいです。
ベーシックシャツ Tシャツ,トップス,ブルベ冬,ウェーブ,スカイブルー,透明感のある発色で、自然な仕上がりに。
シルキーリップ スティック,リップ,イエベ秋,ウェーブ,ダスティローズ,どんなスタイルにも合わせやすい、万能なシューズ。
レザートート,バッグ,イエベ秋,ストレート,ワインレッド,定番のアイテムで、どんなボトムスにも合わせやすいです。
レザートート,バッグ,ブルベ冬,ストレート,ベージュ,繊細なラメが光を反射し、華やかさをプラスします。
スリムフィットデニム,ボトムス,ブルベ夏,ウェーブ,インディゴ,日常使いに最適な、上質な素材を使用しています。
コンフォートスニーカー,シューズ,ブルベ夏,ウェーブ,ホワイト,繊細なラメが光を反射し、華やかさをプラスします。
モイスチャーファンデ,ベースメイク,イエベ秋,ナチュラル,ベージュ,女性らしい柔らかな印象を与えるデザインが魅力です。
スリムフィットデニム,ボトムス,ブルベ夏,ストレート,ブラック,一枚でサマになる、エレガントなワンピース。
ストレートパンツ,ボトムス,イエベ春,ストレート,ベージュ,自然なツヤ感で立体感を演出するメイクアイテム。
コンフォートスニーカー,シューズ,ブルベ夏,ウェーブ,ネイビーブルー,大容量で普段使いに最適なバッグ。
コンフォートスニーカー,シューズ,ブルベ冬,ストレート,ブラック,すっきりとしたシルエットでスタイルアップ効果も。
ベーシックシャツ Tシャツ,トップス,イエベ春,ストレート,カーキ,トレンドを取り入れたシルエットで今っぽさを演出。
クルーネックニット ブラウス,トップス,ブルベ冬,ストレート,クリームホワイト,透明感のある発色で、自然な仕上がりに。
スリムフィットデニム,ボトムス,イエベ秋,ウェーブ,ブラック,トレンドを取り入れたシルエットで今っぽさを演出。
プリントワンピース,ワンピース,ブルベ冬,ウェーブ,イエローゴールド,女性らしい柔らかな印象を与えるデザインが魅力です。
シンプルスカート,ボトムス,ブルベ夏,ナチュラル,ダスティローズ,自然なツヤ感で立体感を演出するメイクアイテム。
モイスチャーファンデ,ベースメイク,ブルベ冬,ウェーブ,アイボリー,洗練されたデザインでビジネスシーンにも活躍します。
スリムフィットデニム,ボトムス,ブルベ夏,ウェーブ,インディゴ,長時間よれにくいウォータープルーフ処方です。
シャイニーアイシャドウ シングル,アイシャドウ,ブルベ冬,ストレート,カーキ,女性らしい柔らかな印象を与えるデザインが魅力です。
プリントワンピース,ワンピース,ブルベ夏,ウェーブ,プラム,脚長効果抜群のスリムフィットパンツ。
グロッシーネイルポリッシュ,ネイル,イエベ春,ナチュラル,ネイビーブルー,どんなスタイルにも合わせやすい、万能なシューズ。
レザートート,バッグ,ブルベ冬,ナチュラル,ベージュ,大容量で普段使いに最適なバッグ。
ストレートパンツ,ボトムス,イエベ秋,ウェーブ,グレー,上品なシルエットで、どんなスタイルにもマッチします。
ミニマルフープピアス,アクセサリー,ブルベ冬,ウェーブ,シルバー,すっきりとしたシルエットでスタイルアップ効果も。
ベーシックシャツ ブラウス,トップス,ブルベ夏,ナチュラル,ブラック,顔周りを華やかに彩る、アクセントになる一品。
スリムフィットデニム,ボトムス,ブルベ冬,ナチュラル,インディゴ,デコルテを綺麗に見せるVネックデザイン。
スリムフィットデニム,ボトムス,ブルベ冬,ナチュラル,ライトブルー,オフィスにも着ていける上品なデザインが魅力です。
シルキーリップ バーム,リップ,ブルベ夏,ナチュラル,レッド,一枚でサマになる、エレガントなワンピース。
クルーネックニット ブラウス,トップス,イエベ春,ストレート,バーガンディ,指先を美しく彩る高発色ネイルポリッシュ。
ナチュラルチーク,チーク,イエベ春,ナチュラル,ベージュ,小顔効果が期待できる、こだわりのデザイン。
ナチュラルチーク,チーク,ブルベ冬,ストレート,ピーチ,快適な履き心地で長時間の移動にもおすすめです。
ストレートパンツ,ボトムス,イエベ秋,ストレート,ブラック,上質な素材で肌触りも良く、着心地抜群です。
スリムフィットデニム,ボトムス,ブルベ夏,ナチュラル,インディゴ,デコルテを綺麗に見せるVネックデザイン。
トレンチコート,アウター,イエベ秋,ストレート,ネイビーブルー,血色感をプラスし、健康的な印象を演出します。
ドロップショルダーT シャツ,トップス,ブルベ冬,ストレート,ホワイト,重ね塗りで印象が自由自在に変わります。
グロッシーネイルポリッシュ,ネイル,ブルベ冬,ナチュラル,ホワイト,大容量で普段使いに最適なバッグ。
レザートート,バッグ,ブルベ夏,ウェーブ,ベージュ,女性らしい柔らかな印象を与えるデザインが魅力です。
ストレートパンツ,ボトムス,ブルベ冬,ナチュラル,グレー,乾燥しにくく、しっとりとした潤いが続きます。
シンプルスカート,ボトムス,イエベ春,ナチュラル,ダスティローズ,乾燥しにくく、しっとりとした潤いが続きます。
クルーネックニット セーター,トップス,ブルベ夏,ウェーブ,クリームホワイト,デコルテを綺麗に見せるVネックデザイン。
モイスチャーファンデ,ベースメイク,ブルベ冬,ストレート,ベージュ,小顔効果が期待できる、こだわりのデザイン。
シルキーリップ ティント,リップ,イエベ秋,ストレート,ライトコーラル,オフィスにも着ていける上品なデザインが魅力です。
クルーネックニット ブラウス,トップス,ブルベ冬,ウェーブ,クリームホワイト,オフィスにも着ていける上品なデザインが魅力です。
シャイニーアイシャドウ シングル,アイシャドウ,ブルベ冬,ウェーブ,アプリコット,透明感のある発色で、自然な仕上がりに。
グロッシーネイルポリッシュ,ネイル,イエベ秋,ストレート,レッド,快適な履き心地で長時間の移動にもおすすめです。
グロッシーネイルポリッシュ,ネイル,イエベ春,ストレート,レッド,季節の変わり目に重宝する、着回し力の高いアイテム。
コンフォートスニーカー,シューズ,イエベ春,ナチュラル,ネイビーブルー,血色感をプラスし、健康的な印象を演出します。
トレンチコート,アウター,イエベ春,ナチュラル,ベージュ,一日中崩れにくい、完璧なベースメイクを叶えます。
モイスチャーファンデ,ベースメイク,イエベ秋,ウェーブ,オークル,なめらかなテクスチャーで肌にすっと伸びます。
ナチュラルチーク,チーク,イエベ春,ウェーブ,フューシャ,デコルテを綺麗に見せるVネックデザイン。
シルキーリップ スティック,リップ,イエベ秋,ナチュラル,レッド,デコルテを綺麗に見せるVネックデザイン。
シルキーリップ バーム,リップ,イエベ秋,ウェーブ,ベビーピンク,指先を美しく彩る高発色ネイルポリッシュ。
スリムフィットデニム,ボトムス,ブルベ冬,ストレート,インディゴ,どんなスタイルにも合わせやすい、万能なシューズ。
プリントワンピース,ワンピース,イエベ秋,ナチュラル,レッド,一日中崩れにくい、完璧なベースメイクを叶えます。
コンフォートスニーカー,シューズ,イエベ春,ナチュラル,ホワイト,長時間よれにくいウォータープルーフ処方です。
プリントワンピース,ワンピース,ブルベ夏,ウェーブ,プラム,高機能で肌に優しい処方です。
クルーネックニット Tシャツ,トップス,ブルベ夏,ストレート,チャコールグレー,休日のカジュアルスタイルにもぴったりの一着。
モイスチャーファンデ,ベースメイク,ブルベ夏,ナチュラル,ベージュ,繊細なラメが光を反射し、華やかさをプラスします。
ミニマルフープピアス,アクセサリー,イエベ秋,ナチュラル,ゴールド,洗練されたデザインでビジネスシーンにも活躍します。
モイスチャーファンデ,ベースメイク,イエベ秋,ウェーブ,ベージュ,ファッションのアクセントになる、目を引くアイテム。
トレンチコート,アウター,イエベ春,ストレート,ネイビーブルー,重ね塗りで印象が自由自在に変わります。
ストレートパンツ,ボトムス,ブルベ夏,ナチュラル,ネイビーブルー,どんなスタイルにも合わせやすい、万能なシューズ。
ベーシックシャツ シャツ,トップス,ブルベ冬,ナチュラル,カーキ,休日のカジュアルスタイルにもぴったりの一着。
ナチュラルチーク,チーク,イエベ秋,ストレート,ブラウン,長時間よれにくいウォータープルーフ処方です。
ミニマルフープピアス,アクセサリー,ブルベ冬,ナチュラル,ゴールド,カジュアルながらも着回し力抜群のアイテム。
ミニマルフープピアス,アクセサリー,イエベ秋,ウェーブ,ゴールド,重ね塗りで印象が自由自在に変わります。
シンプルスカート,ボトムス,ブルベ冬,ストレート,ブラック,快適な履き心地で長時間の移動にもおすすめです。
モイスチャーファンデ,ベースメイク,イエベ秋,ストレート,アイボリー,洗練されたデザインでビジネスシーンにも活躍します。
ベーシックシャツ ブラウス,トップス,ブルベ冬,ウェーブ,カーキ,脚長効果抜群のスリムフィットパンツ。
スリムフィットデニム,ボトムス,ブルベ夏,ナチュラル,ライトブルー,透明感のある発色で、自然な仕上がりに。
クルーネックニット ブラウス,トップス,ブルベ夏,ストレート,バーガンディ,上品なシルエットで、どんなスタイルにもマッチします。
シャイニーアイシャドウ リキッド,アイシャドウ,ブルベ冬,ウェーブ,アプリコット,指先を美しく彩る高発色ネイルポリッシュ。
トレンチコート,アウター,ブルベ冬,ウェーブ,カーキ,上品なシルエットで、どんなスタイルにもマッチします。
ナチュラルチーク,チーク,ブルベ冬,ストレート,ブラウン,長時間よれにくいウォータープルーフ処方です。
プリントワンピース,ワンピース,ブルベ冬,ウェーブ,スカイブルー,日常使いに最適な、肌馴染みの良いアイテムです。
ドロップショルダーT ブラウス,トップス,ブルベ冬,ウェーブ,ホワイト,トレンドを取り入れたシルエットで今っぽさを演出。
クルーネックニット セーター,トップス,イエベ秋,ストレート,ブラウン,顔周りを華やかに彩る、アクセントになる一品。
ナチュラルチーク,チーク,イエベ春,ストレート,コーラル,長時間よれにくいウォータープルーフ処方です。
トレンチコート,アウター,イエベ春,ナチュラル,ネイビーブルー,すっきりとしたシルエットでスタイルアップ効果も。
シンプルスカート,ボトムス,ブルベ冬,ストレート,ブラック,大容量で普段使いに最適なバッグ。
トレンチコート,アウター,ブルベ冬,ナチュラル,ネイビーブルー,上質な素材で肌触りも良く、着心地抜群です。
シャイニーアイシャドウ パレット,アイシャドウ,イエベ秋,ナチュラル,ウォームベージュ,小顔効果が期待できる、こだわりのデザイン。
モイスチャーファンデ,ベースメイク,イエベ秋,ナチュラル,オークル,高機能で肌に優しい処方です。
グロッシーネイルポリッシュ,ネイル,イエベ秋,ウェーブ,ベビーピンク,日常使いに最適な、上質な素材を使用しています。
